 ,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,Vero-E6 Zaliani ,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,,,,Red Flags,,,
GLIPIZIDE,Antidiabetic,"ABC transporters, Insulin secretion","ABCC4, ABCC8, KCNJ10, KCNJ11, PPARG",,,,3.8761,445.545,2.07812,6,3,7,130.15,0,-4.06,-0.04,0.03796,0.0999,5.804,,,,0,-29.88856501,0,0,Inactive,0,-4.444033117,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.406938717,0,0,Inactive,Inactive,0,2.814606263,,,,,,0,-16.1140697,,,,,,,"Glipizide is about 98-99% bound to serum proteins, with albumin being the main plasma protein",3.30 hours,95%,None,Hypersensitivity; sulfa allergy; Type 1 diabetes; Diabetic ketoacidosis with or without coma,Category C,Use with caution
XYLOMETAZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",adrenergic receptor agonist,,,,280.843,3.56694,2,1,2,24.39,0,,-0.09,,,13.6,,,,3.981071706,-68.16613722,3.9811,64.4438,Inconclusive,0,0,0,0,Inactive,Inactive,0,-1.193966799,0,0,Inactive,0,0.571601192,0,0,Inactive,Inactive,14.12537545,21.83646525,,,,,,0,-32.38664064,,,,,,,,,,Isocarboxazid; linezolid; phenelzine; selegiline transdermal; tranylcypromine,Heart diseases,Category C,No sufficient information is available
MECLIZINE HYDROCHLORIDE,Anti-emetic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",NR1I3,constitutive androstane receptor (CAR) agonist,,,,463.88,6.39922,2,0,5,6.48,1,,1.33,,,12.5,,,,6.309573445,-11.01066177,0,0,Inactive,0,6.025062211,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-4.072000475,,,,,,0,-10.75000337,,,,,,,,Meclizine has a plasma elimination half-life of about 5-6 hours in humans.[L6772],,NA,Hypersensitivity,Category B,Use with caution
CYCLOSERINE (D),Antibacterial (tuberculostatic),"Peptidoglycan biosynthesis, D-Alanine metabolism",GRIN1,bacterial cell wall synthesis inhibitor,,,,102.093,-1.6249,3,2,0,64.35,1,-2.21,0.17,1.427,,23.75,,,,0,-18.79928126,0,0,Inactive,0,-4.58351177,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,2.616934082,0,0,Inactive,Inactive,0,-4.81934027,,,,,,0,-18.34068652,,,,,,,,"Half-life in patients with normal renal function is 10 hours, and is prolonged in patients with impaired renal function.",80%,NA,Hypersensitivity; Severe renal dysfunction; seizures,Category C,Use with caution
CARTEOLOL HYDROCHLORIDE,"Antiglaucoma, Antiarrhythmic, Antihypertensive","Calcium signaling pathway, cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, cAMP signaling pathway","ADRB1, ADRB2, ADRB3",adrenergic receptor antagonist,,,,328.84,2.1209,4,3,5,70.59,1,,,,0.1646,,,,,0,-10.74187383,0,0,Inactive,0,-31.56538022,0,0,Inactive,Inactive,0,3.405700329,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0.425642004,,,,,,0,-23.93488554,,,,,,,,4.70 hours,88%,NA,"Asthma, uncompensated CHF, any beta-blocker side effects, hypersensitivity, severe COPD, 2°/3° AV block, cardiogenic shock",NA,Not recommended
DICYCLOMINE HYDROCHLORIDE,Antispasmodic,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, cholinergic synapse, cAMP signaling pathway",,,,,,345.955,4.824,3,0,7,29.54,0,,,,0.1568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The mean plasma elimination half life is approximately 1.8 hours.[A182525,L7967]",,None,Hypersensitivity to dicyclomine or any anticholinergic drugs; Closed-angle glaucoma; Myasthenia gravis; Hemorrhage with cardiovascular instability; Paralytic ileus; Breast-feeding; Intestinal atony of elderly/debilitated patients; Toxic megacolon; GI obstruction; Obstructive uropathy; Severe ulcerative colitis; Reflux esophagitis,Category B1,Not recommended
DIMENHYDRINATE,"Anti-emetic, Antivertigo","Calcium signaling pathway, Neuroactive ligand-receptor interaction",HRH1,histamine receptor antagonist,,,4.0757,469.973,2.9679,7,1,6,85.15,0,-1.08,0,1.153,,16.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 to 99%.,1 to 4 hours,,None,Hypersensitivity; Asthma; neonates; nursing women,Category A,Use with caution
ACYCLOVIR,Antiviral,DNA synthesis/replication,PNP,DNA polymerase inhibitor,,,,225.208,-1.3318,7,3,4,119.05,0,8.75,0.04,0.1444,0.1075,6.729,,,,0,0,0,0,Inactive,0,-7.013668247,0,0,Inactive,Inactive,0,6.837535791,0,0,Inactive,0,-23.22050268,0,0,Inactive,Inactive,0,3.824972343,,,,,,0,6.759000897,,,,,,,Acyclovir is 9-33% protein bound in plasma.,2.50 hours,22.50%,None,Hypersensitivity,Category B3,Use with caution
TETRAHYDROZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GNA15,adrenergic receptor agonist,,,4.5243,236.746,2.53,2,1,1,24.39,1,,-0.05,,0.1519,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,Hypersensitivity,Category C,No sufficient information is available
PROPANTHELINE BROMIDE,Antispasmodic,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM2, CHRM3, CHRM4",acetylcholine receptor antagonist,,,,448.401,1.7348,3,0,6,35.53,0,,-0.02,,0.1356,10.7,,,,0,-18.54992209,0,0,Inactive,0,5.593244844,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.09246769,0,0,Inactive,Inactive,0,-2.874992878,,,,,,0,-11.76271043,,,,,,,,,,None,"Hypersensitivity; Closed-angle glaucoma, myasthenia gravis, hemorrhage w/ cardiovascular instability, paralytic ileus, intestinal atony of elderly/debilitated pt, obstructive uropathy, toxic megacolon, GI obstruction",Category B2,Use with caution
ETHIONAMIDE,Antibacterial (tuberculostatic),NA,,mycolic synthesis inhibitor,,,,166.249,1.2782,2,1,2,38.91,0,-1.84,-0.13,0.1212,0.1784,18.18,,,,0,3.664284582,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-12.94469923,0,0,Inactive,0,-8.556702746,0,0,Inactive,Inactive,0,-4.723959701,,,,,,0,-16.97779043,,,,,,,Approximately 30% bound to proteins.,2 to 3 hours,80%,None,Hypersensititvity; severe hepatic dysfunction,Category C,Use with caution
GLYBURIDE,Antidiabetic,"ABC transporters, Insulin secretion","ABCA1, ABCB11, ABCC8, ABCC9, CFTR, CPT1A, KCNJ1, KCNJ11, KCNJ5, KCNJ8, SLCO2B1","ATP channel blocker, insulin secretagogue, sulfonylurea",,,6.6575,494.013,3.6417,5,3,8,113.6,0,-1.61,-0.07,0.2282,,13.62,,,,0,-36.89466252,0,0,Inactive,0,8.352390454,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-2.174900403,,,,,,0,-15.87166242,,,,,,,Glyburide is 99.9% bound to protein in plasma with >98% accounted for by binding to serum albumin.,2.20 hours,82%,Bosentan,Hypersensitivity; sulfa allergy; Type 1 diabetes; Diabetic ketoacidosis with or without coma,NA,Use with caution
CHLORZOXAZONE,Skeletal muscle relaxant,NA,"KCNMA1, KCNN4",bacterial 30S ribosomal subunit inhibitor,,,4.52,169.567,1.7745,2,1,0,46,0,-2.41,-0.11,0.06344,0.18,25.61,,,,0,1.888942275,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,1.673643933,0,0,Inactive,0,7.506901628,0,0,Inactive,Inactive,0,3.311931149,,,,,,0,-8.490194639,,,,,,,,,,None,Hypersensititvity,NA,NA
ALLOPURINOL,Anti-gout,"Purine metabolism, Peroxisome",XDH,xanthine oxidase inhibitor,,,5.699,136.114,-0.3538,3,2,0,74.43,0,-27.22,0.35,0.1167,0.02121,15.51,,,,0,-390.9998703,0,0,Inactive,14.12537545,-258.1436537,0,0,Inactive,Inactive,0,-416.4756609,0,0,Inactive,0,-250.3642621,0,0,Inactive,Inactive,0,-1.430080843,,,,,,0,-10.15203611,,,,,,,Allopurinol and oxypurinol are only negligibly bound to plasma proteins,0.80 hours,53%,None,Hypersensitivity,Category B2,Not recommended
PHENYLEPHRINE HYDROCHLORIDE,"Midriatic, Vasoconstrictor","Calcium signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D",adrenergic receptor agonist,,,5.9,203.669,1.0668,3,3,3,52.49,1,,-0.07,,0.03283,17.14,,,,12.58925412,-22.65280341,12.5893,35.5295,Inconclusive,0,-28.79422722,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-33.16950157,0,0,Inactive,Inactive,0,-1.81212656,,,,,,0,-13.80615341,,,,,,,,"Intravenous phenylephrine has an effective half life of 5 minutes and an elimination half life of 2.5 hours.[A187379,L9416,L9410]",35%,Iobenguane I 123; isocarboxazid; linezolid; phenelzine; procarbazine; selegiline transdermal; tranylcypromine,None,Category B2,Use with caution
ETHAMBUTOL HYDROCHLORIDE,Antibacterial (tuberculostatic),NA,ABCC4,bacterial cell wall synthesis inhibitor,,,3.876,277.236,0.551,4,4,9,64.52,2,,-0.14,,,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ethambutol is 20-30% bound to protein in plasma,3.10 hours,77%,None,Hypersensitivity; Known optic neuritis,Category A,Recommended
PYRIMETHAMINE,Antimalarial,"Pyrimidine metabolism, Folate biosynthesis","DHFR, SLC47A1",dihydrofolate reductase inhibitor,,,,248.717,2.5238,4,2,2,77.82,0,57.63,9.02,0.7421,0.2473,15.45,,,,39.81071706,-45.50275512,39.8107,45.106,Inconclusive,39.81071706,-30.35835158,39.8107,51.4894,Inconclusive,Cytotoxic,39.81071706,-22.9004696,39.8107,78.5461,Inconclusive,39.81071706,-22.31717971,39.8107,88.4059,Inconclusive,Cytotoxic,11.22018454,31.4146497,,,,,,6.309573445,-86.57631335,,,,,,,87%,140 hours,90%,Eliglustat,Hypersensitivity; Megaloblastic or folate-deficiency anemia,Category B3,Not recommended
PRAZIQUANTEL,Anthelmintic ,NA,ABCC4,,,,3.8761,312.413,2.5349,2,0,1,40.62,1,,,0.2207,,,,,,0,-121.9808706,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-95.39783475,0,0,Inactive,0,-9.730679791,0,0,Inactive,Inactive,0,-0.873227038,,,,,,0,-23.06392689,,,,,,,80 to 85%,0.8-1.5 hours (in serum),7%,Bosentan; carbamazepine; dabrafenib; dexamethasone; efavirenz; enzalutamide; eslicarbazepine acetate; etravirine; fosphenytoin; mitotane; nafcillin; nevirapine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; primidone; rifabutin; rifampin; rifapentine,Hypersensitivity; Intraocular cysticercosis,Category B1,Not recommended
GUAIFENESIN,"Antitussive, Expectorant",NA,ABCB11,,,,3,198.218,0.4272,4,2,5,58.92,1,,,0.07395,0.2008,,,,,0,-163.6664449,0,0,Inactive,0,2.68545671,0,0,Inactive,Inactive,0,-73.80624427,0,0,Inactive,0,2.548150528,0,0,Inactive,Inactive,0,-2.35940406,,,,,,0,-40.28008734,,,,,,,,"The half-life in plasma observed for guaifenesin is approximately one hour [A177676, L6079, L6100, F4522, F4525].",,None,Hyersensitivity,Category A,Not recommended
SULFAMETHIZOLE,Antibacterial,Folate biosynthesis,CYP3A4,,,,3.0777,270.339,1.22952,6,2,3,97.97,0,13.56,0.11,0.01199,0.1221,14.03,,,,0,-69.33899868,0,0,Inactive,0,1.808839996,0,0,Inactive,Inactive,0,-101.6746949,0,0,Inactive,0,-1.252950462,0,0,Inactive,Inactive,0,10.36194773,,,,,,0,-5.116155161,,,,,,,98-99%,3-8 hours,,NA,NA,Category C,NA
ALLANTOIN,"Anti-inflammatory,",NA,,,,,,158.117,-2.1798,3,4,1,113.32,1,,,0.03873,0.1646,,,,,0,-153.0303877,0,0,Inactive,0,-1.820218614,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,9.772898339,,,,,,0,-10.89733528,,,,,,,,1 to 2.5 h,,NA,NA,NA,NA
BETHANECHOL CHLORIDE,Prokinetic,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM2, CHRM3, CHRM4",acetylcholine receptor agonist,,,,196.678,-2.8196,2,1,3,52.32,1,,,,0.07337,,,,,0,-4.509911624,0,0,Inactive,0,-7.708451783,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-10.02456742,0,0,Inactive,Inactive,0,-0.873627619,,,,,,0,-21.82276324,,,,,,,,,,None,Hypersensitivity; hyperthyroidism; peptic ulcer; asthma; bradycardia; hypotension; AV conduction defects; CAD vasomotor instability; vagotonia; epilepsy; Parkinsonism; GI of GU obstruction; weak bladder wall; recent urinary bladder surgery; GI resection or anastomosis; spastic GI disturbances; HTN; obstructive pulmonary disease,Category B2,Use with caution
PAPAVERINE HYDROCHLORIDE,"Antispasmodic, Smooth muscle relaxant, Vasodilator","Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway","PDE10A, PDE4B, PDE5A",phosphodiesterase inhibitor,,,7.7695,375.852,4.2818,5,0,6,49.81,0,,-0.24,,0.03666,17.4,,,,6.309573445,-165.60092,,,,7.943282347,-57.35432358,,,,,,,,,,,,,,,,0,-8.101621942,,,,,,0,-30.76905128,,,,,,,~90%,1.80 hours,28%,None,Hypersensitivity; Complete AV block,Category B3,Use with caution
OXYMETAZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1B, HTR1D, HTR2C",adrenergic receptor agonist,,,,296.842,3.27254,3,2,2,44.62,0,,0.07,,0.2228,24.54,,,,0,-11.59692265,0,0,Inactive,0,4.77084277,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.092416932,0,0,Inactive,Inactive,0,-2.828628313,,,,,,0,-2.257233181,,,,,,,56.7-57.5%,,11%,None,None,NA,Use with caution
PROBUCOL,Antihyperlipidemic,NA,"ABCA1, ABCB11, CES1",atherogenesis inhibitor,,,,516.857,9.9083,4,2,4,40.46,0,2.84,0.59,0.2869,,26.51,,,,7.079457844,-89.88755971,7.0795,36.9486,Inconclusive,0,4.879739045,0,0,Inactive,Inactive,0,-120.256949,0,0,Inactive,0,7.13969797,0,0,Inactive,Inactive,0,7.335153905,,,,,,0,-18.44881848,,,,,,,,"Ranges from 12 h - 500 h, the longest half-life probably being in adipose tissue.",5%,NA,NA,Category B1,NA
CHLORPROPAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, ABCC3, KCNJ10",ATP channel blocker,,,3.8761,276.745,1.7379,3,2,4,75.27,0,4.33,0.09,0.09227,0.2087,13.38,,,,0,-45.49609625,0,0,Inactive,0,12.11952663,0,0,Inactive,Inactive,0,-73.05797368,0,0,Inactive,0,0.21930055,0,0,Inactive,Inactive,0,0.48682844,,,,,,0,-24.50570053,,,,,,,Highly bound to plasma,46 hours,95%,Dronabinol,"Type I diabetes; Diabetes ketoacidosis; Hypersensitivity, sulfa allergy; Severe renal impairment",Category C,Use with caution
PYRAZINAMIDE,Antibacterial (tuberculostatic),NA,FASN,fatty acid synthase inhibitor,,,,123.115,-0.4245,3,1,1,68.87,0,44.3,0,0.01701,0.1788,14.28,,,,0,-30.78405555,0,0,Inactive,0,9.294300246,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.61496308,0,0,Inactive,Inactive,0,-3.083092535,,,,,,0,-10.19210349,,,,,,,~10%,9-10 hours (normal conditions),90%,None,Hepatic damage; acute gout; hypersensitivity,Category B2,Use with caution
BENOXINATE HYDROCHLORIDE,Anesthetic (topical),Dopaminergic synapse,SCN1A,,,,5.54,344.883,3.3681,5,1,10,64.79,0,,,,0.147,,,,,14.12537545,-64.71148692,0,0,Inactive,0,0.87606377,0,0,Inactive,Inactive,39.81071706,-13.03997395,39.8107,46.9747,Inconclusive,35.48133892,-10.96066512,35.4813,35.3339,Inconclusive,Cytotoxic,0,4.143924367,,,,,,0,-33.54502775,,,,,,,,,,None,Hypersensitivity,NA,NA
PROBENECID,"Anti-gout, Uricosuric",NA,"PANX1, SLC22A11, SLC22A6, SLC22A8, SLCO1C1",uricosuric blocker,,,5.2007,285.365,2.1955,3,1,7,74.68,0,1.35,0.08,0.2093,,15.12,,,,0,-42.62226298,0,0,Inactive,0,2.200630514,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.699700188,0,0,Inactive,Inactive,0,0.978674226,,,,,,0,-35.35218372,,,,,,,75-95%,5.90 hours,99%,None,"Uric acid kidney stones, acute gouty arthritis; Hypersensitivity; Blood dyscrasias",Category B2,Use with caution
TOLBUTAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, ABCC4, KCNJ1, KCNJ11, KCNJ8",ATP channel blocker,,,3.8761,270.354,1.78302,3,2,5,75.27,0,3.6,0.19,-0.01112,,21.67,,,,0,-1.606396107,0,0,Inactive,0,2.953090091,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.500377777,0,0,Inactive,Inactive,0,-2.976245871,,,,,,0,-14.98582329,,,,,,,95%,7 hours,85%,None,"Hypersensitivity, sulfa allergy; Type I diabetes, diabetic ketoacidosis",Category C,Use with caution
NAPHAZOLINE HYDROCHLORIDE,Vasoconstrictor,Neuroactive ligand-receptor interaction,"ADRA1A, ADRA2A, ADRA2B",adrenergic receptor agonist,,,11.9586,246.741,2.8058,2,1,2,24.39,0,,0.52,,0.002061,12.64,,,,0,-10.96023277,0,0,Inactive,0,3.477288401,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-3.682046748,,,,,,0,-1.014273075,,,,,,,,Half life has not been determined but effects last for 4 to 8 hours.,,None,"Heart disease (incr BP, HR, palpitations); Narrow angle glaucoma",NA,
TOLAZAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, KCNJ1, KCNJ10, KCNJ11",ATP channel blocker,,,,311.407,1.77392,4,2,3,78.51,0,8.18,-0.15,0.0131,0.157,32.71,,,,0,-21.76094511,0,0,Inactive,0,8.29626065,0,0,Inactive,Inactive,0,2.448159297,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-2.03377317,,,,,,0,-21.41046166,,,,,,,,7 h,,None,Hypersensitivity; sulfa allergy; diabetic ketoacidosis; Type 1 diabetes,Category C,Not recommended
NALIDIXIC ACID,Antibacterial,DNA synthesis/replication,,bacterial DNA gyrase inhibitor,,,,232.239,1.42302,4,1,2,72.19,0,-0.44,0.12,,0.03233,12.92,,,,0,-5.277969596,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-9.380491449,,,,,,0,-32.77548898,,,,,,,93%,"1.1 to 2.5 hours in healthy adult patients, and up to 21 hours in patients with impaired renal function.",96%,NA,NA,Category A,Use with caution
CLOFIBRATE,Antihyperlipidemic,"PPAR signaling pathway, Adipocytokine signaling pathway","LPL, PPARA",PPAR receptor agonist,,,4.25,242.702,3.0605,3,0,4,35.53,0,,,0.08504,0.007924,,,,,0,-42.73835177,0,0,Inactive,0,1.45023801,0,0,Inactive,Inactive,0,-5.232052235,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,9.989019192,,,,,,0,-14.01831037,,,,,,,95-97%,18-22 h,95%,NA,NA,Category B1,NA
NEOSTIGMINE BROMIDE,Parasympathomimetic,"Glycerophospholipid metabolism, Cholinergic synapse",ACHE,acetylcholinesterase inhibitor,,,10.3665,303.2,-1.0523,2,0,2,29.54,0,,-0.14,,0.1096,12.59,,,,0,-24.4913318,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.779249603,0,0,Inactive,Inactive,0,10.70682813,,,,,,0,-1.074971516,,,,,,,,1.30 hours,2%,None,Hypersensitivity,Category B2,Use with caution
METHOCARBAMOL,Skeletal muscle relaxant,NA,CA1,muscle relaxant,,,7.6,241.243,0.5302,5,2,6,91.01,1,1.12,-0.31,0.09817,,10.07,,,,0,-97.80945854,0,0,Inactive,0,-7.605414599,0,0,Inactive,Inactive,0,-6.760039393,0,0,Inactive,0,-14.84166346,0,0,Inactive,Inactive,0,1.871579725,,,,,,0,-23.49119365,,,,,,,Methocarbamol is 46-50% protein bound in healthy patients and 47.3-48.9% protein bound in hemodialysis patients,The elimination half life is 1.14 hours in healthy subjects and 1.24 hours in subjects with renal insufficiency.[A636] Older studies report half lives of 1.6-2.15 hours.[A178366],,None,Renal impairement,Category B3,Use with caution
ACETAZOLAMIDE,Antiglaucoma,Proximal tubule bicarbonate reclamation,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7",carbonic anhydrase inhibitor,,,8.2365,222.251,-0.8561,6,2,2,115.04,0,-4.52,-0.12,0.04502,0.1016,9.824,,,,0,-80.91885086,0,0,Inactive,0,-7.430385095,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.351592045,0,0,Inactive,Inactive,0,1.814488279,,,,,,0,-20.63394837,,,,,,,98%,13 hours,99%,None,Hypokalemia; Hyponatremia; Hyperchloremic acidosis; Hypersensitivity to acetazolamide or sulfa; Liver disease,Category B3,Use with caution
SULFADIAZINE,Antibacterial,Folate biosynthesis,"CA1, CA2, CA6",,,,4.5817,250.283,0.8596,5,2,3,97.97,0,-3.32,-0.11,-0.0006413,,15.43,,,,0,2.174276948,0,0,Inactive,0,-3.885093,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-7.111555396,0,0,Inactive,Inactive,0,-13.92697388,,,,,,0,-10.30040041,,,,,,,,7 hours,90%,None,Should not be used for group A beta-hemolytic strep infections,Category C,Use with caution
PHENTOLAMINE HYDROCHLORIDE,Vasodilator,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",adrenergic receptor antagonist,,,8.9586,317.82,3.26222,4,2,4,47.86,0,,0.13,,0.06841,14.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50 hours,,None,Hypersensitivity; MI or other CAD,Category B1,Not recommended
DOXYLAMINE SUCCINATE,Anti-allergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,388.464,2.8591,5,2,9,99.96,1,3.91,-0.02,-0.01157,,2.832,,,,4.466835922,-51.95276167,4.4668,40.9754,Inconclusive,0,1.688250662,0,0,Inactive,Inactive,0,-5.676281589,0,0,Inactive,0,5.992165961,0,0,Inactive,Inactive,0,-0.716804248,,,,,,0,-32.36344052,,,,,,,,10 hours,,None,Hypersensitivity,Category A,Not recommended
MEPENZOLATE BROMIDE,"Antispasmodic, Anti-ulcerative","Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion",CHRM3,acetylcholine receptor antagonist,,,,420.347,-0.2915,3,1,4,46.53,1,,,,0.1869,,,,,0,-9.325692207,0,0,Inactive,0,-3.867056641,0,0,Inactive,Inactive,0,-29.44461974,0,0,Inactive,0,9.452990098,0,0,Inactive,Inactive,0,1.113614768,,,,,,0,1.941499028,,,,,,,,,,NA,NA,NA,Use with caution
Gefitinib (ZD1839),Antineoplastic,"MAPK signaling pathway, ErbB signaling pathway,",EGFR,EGFR inhibitor,,,10,446.91,4.2756,7,1,8,68.74,0,18.82,9.07,0.2901,0.178,19.63,,,,12.58925412,-62.77745603,12.5893,99.3085,Active,39.81071706,-30.9409406,39.8107,66.8293,Inconclusive,Cytotoxic,39.81071706,-24.25680411,39.8107,83.1981,Inconclusive,39.81071706,-13.62499036,39.8107,46.7322,Inconclusive,Cytotoxic,0,-10.88521906,,,,,,11.22018454,-120.9162432,,,,,,,90% primarily to serum albumin and alpha 1-acid glycoproteins (independent of drug concentrations).,34 hours,60%,None,None,Category C,Not recommended
Rucaparib (AG-014699 or PF-01367338) phosphate,Antineoplastic,"Apoptosis, Necroptosis, Base excision repair","PARP1, PARP2",PARP inhibitor,,,9.301,421.365,2.0507,3,6,3,134.68,0,4.71,1.02,,,93.3,,,,31.6227766,-24.74618247,,,,0,12.01377064,,,,,,,,,,,,,,,,0,20.55052547,,,,,,0,-12.29281642,,,,,,,"In vitro, the protein binding of rucaparib was 70% in human plasma at therapeutic concentrations. Rucaparib preferentially distributed to red blood cells with a blood-to-plasma concentration ratio of 1.83","Following a single oral dose of 600mg rucaparib, the mean terminal half life (t1/2) was 17-19 hours [FDA Label].",36%; range from 30% to 45%.,Finerenone; isavuconazonium sulfate; lonafarnib; voclosporin,None,NA,Not recommended
ETC-1002,Antidyslipidemia,Citrate cycle (TCA cycle),,,,,5.69,344.492,4.4699,3,3,14,94.83,0,-6.33,0.09,,0.1415,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The plasma protein binding of bempedoic acid and its metabolites is about 99%,The half-life of bempedoic acid ranges between 15 and 24 hours.[A191877] Prescribing information indicates a clearance of 21 hours +/- 11 hours.[L12144],,NA,NA,NA,Not recommended
Nifurtimox,Antiprotozoal,NA,HSPD1,DNA inhibitor,,,3.602,287.297,0.6406,7,0,3,106.02,1,,,0.8408,0.1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The plasma protein binding of nifurtimox is approximately 42%.[L15361] It is primarily bound to albumin.[A216931],The elimination half-life of nifurtimox ranges from 2.4–3.6 hours.[L15361] A pharmacokinetic study of healthy volunteers and patients with renal failure revealed respective mean half-lives of 2.95 h and 3.95 h.[A217936],,None,Hypersensitivity; alcohol consuption during treatment,NA,Use with caution
Rimegepant,Antimigraine,Neuroactive ligand-receptor interaction,CALCA,calcitonin antagonist,,,10.56,534.567,4.49,7,2,3,119.13,3,2.52,0.23,,0.2662,37.92,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.914579925,,,,,,0,-22.05933578,,,,,,,Rimegepant is approximately 96% plasma protein-bound.[L11971] The specific proteins to which rimegepant binds have not been elucidated.,The elimination half-life in healthy subjects is approximately 11 hours.[L11971],0.64,None,Hypersensitivity,NA,Not recommended
