Name,EC50_value_original_target,IC50_value_original_target,pIC50_value_original_target,MW,logP,HBA,HBD,RotBonds,PSA,NoChiralCentres,Caco2_Ellinger_perc_inhibition,Vero-E6_Zaliani_perc_inhibition,Vero-E6_Touret_Inhibition_index,HRCE_Heiser_Hit_score,3CLPro_Kuzikov_perc_inihibition,3CLPro_Kuzikov_perc_IC50(nM),1479145_AC50(μM),1479145_AUC,1479145_Potency(μM),1479145_Efficacy(%),1479145_Activity,1479150_AC50(μM),1479150_AUC,1479150_Potency(μM),1479150_Efficacy(%),1479150_Activity,1479150_Tox,1479149_AC50(μM),1479149_AUC,1479149_Potency(μM),1479149_Efficacy(%),1479149_Activity,1479147_AC50(μM),1479147_AUC,1479147_Potency(μM),1479147_Efficacy(%),1479147_Activity,1479147_Tox,1508606_AC50(μM),1508606_AUC,1508606_Potency(μM),1508606_Efficacy(%),1508606_Activity,1508606_CPE_EC50(uM),1508606_CPE_perc_Efficacy,1508605_AC50(μM),1508605_AUC,1508605_Potency(μM),1508605_Efficacy(%),1508605_Activity,1508605_Tox,1508605_Cytotox_CC50(uM),1508605_perc_Cytotox,t_half,Bioavailability,protein-binding,no_features
acetazolamide,0,0,8.2365,222.251,-0.8561,6,2,2,115.04,0,-4.52,-0.12,0.04502,0.1016,9.824,0,0,-80.91885086,0,0,0,0,-7.430385095,0,0,0,0,0,0,0,0,0,0,0.351592045,0,0,0,0,0,1.814488279,0,0,0,0,0,0,-20.63394837,0,0,0,0,0,0,13,0.99,0.98,0
sulfadiazine,0,0,4.5817,250.283,0.8596,5,2,3,97.97,0,-3.32,-0.11,-0.0006413,0,15.43,0,0,2.174276948,0,0,0,0,-3.885093,0,0,0,0,0,0,0,0,0,0,-7.111555396,0,0,0,0,0,-13.92697388,0,0,0,0,0,0,-10.30040041,0,0,0,0,0,0,7,0.9,0,0
phentolamine hydrochloride,0,0,8.9586,317.82,3.26222,4,2,4,47.86,0,0,0.13,0,0.06841,14.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
doxylamine succinate,0,0,0,388.464,2.8591,5,2,9,99.96,1,3.91,-0.02,-0.01157,0,2.832,0,4.466835922,-51.95276167,4.4668,40.9754,0.5,0,1.688250662,0,0,0,0,0,-5.676281589,0,0,0,0,5.992165961,0,0,0,0,0,-0.716804248,0,0,0,0,0,0,-32.36344052,0,0,0,0,0,0,10,0,0,0
mepenzolate bromide,0,0,0,420.347,-0.2915,3,1,4,46.53,1,0,0,0,0.1869,0,0,0,-9.325692207,0,0,0,0,-3.867056641,0,0,0,0,0,-29.44461974,0,0,0,0,9.452990098,0,0,0,0,0,1.113614768,0,0,0,0,0,0,1.941499028,0,0,0,0,0,0,0,0,0,0
gefitinib (zd1839),0,0,10,446.91,4.2756,7,1,8,68.74,0,18.82,9.07,0.2901,0.178,19.63,0,12.58925412,-62.77745603,12.5893,99.3085,1,39.81071706,-30.9409406,39.8107,66.8293,0.5,1,39.81071706,-24.25680411,39.8107,83.1981,0.5,39.81071706,-13.62499036,39.8107,46.7322,0.5,1,0,-10.88521906,0,0,0,0,0,11.22018454,-120.9162432,0,0,0,0,0,0,34,0.6,0.9,0
rucaparib (ag-014699 or pf-01367338) phosphate,0,0,9.301,421.365,2.0507,3,6,3,134.68,0,4.71,1.02,0,0,93.3,0,31.6227766,-24.74618247,0,0,0,0,12.01377064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55052547,0,0,0,0,0,0,-12.29281642,0,0,0,0,0,0,18,0.36,0.7,0
etc-1002,0,0,5.69,344.492,4.4699,3,3,14,94.83,0,-6.33,0.09,0,0.1415,19.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0.99,0
nifurtimox,0,0,3.602,287.297,0.6406,7,0,3,106.02,1,0,0,0.8408,0.1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.42,0
rimegepant,0,0,10.56,534.567,4.49,7,2,3,119.13,3,2.52,0.23,0,0.2662,37.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.914579925,0,0,0,0,0,0,-22.05933578,0,0,0,0,0,0,11,0.64,0.96,0
moxonidine,0,0,0,241.682,0.81812,6,2,2,71.43,0,0,0.05,0.9675,0.157,19.01,0,0,-1.972047955,0,0,0,0,-4.571446414,0,0,0,0,0,1.899039839,0,0,0,0,2.379901489,0,0,0,0,0,0.060749166,0,0,0,0,0,0,-28.34341794,0,0,0,0,0,0,2.2,0.88,0.1,0
lubiprostone,0,0,0,390.467,4.1525,4,2,14,91.67,3,15.74,0.06,0,0,4.135,0,0.316227766,-137.3361044,0.3162,33.381,0.5,0,-0.500699445,0,0,0,0,0,-18.30548514,0,0,0,0,1.110682404,0,0,0,0,0,-6.62631798,0,0,0,0,0,0,-41.34699071,0,0,0,0,0,0,1.1,0,0.94,0
capmatinib,0,0,0,412.428,3.429,6,1,4,85.07,0,1.59,1.09,0,0,8.178,0,39.81071706,-9.18247318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29026748,0,0,0,0,0,0,-27.65320488,0,0,0,0,0,0,6.5,0.7,0.96,0
cinnarizine,0,0,0,368.524,5.107,2,0,6,6.48,0,5.27,-0.1,0.6874,0.3702,31.02,0,1.77827941,-46.72737001,0.7943,37.7759,0.5,0,3.330601675,0,0,0,0,3.16227766,-223.2866898,0,0,0,0,4.823314883,0,0,0,0,0,1.614210273,0,0,0,0,0,0,-38.41020557,0,0,0,0,0,0,0,0,0,0
tedizolid,0,0,0,370.344,1.3957,8,1,4,106.26,1,11.24,0.01,0,0.1987,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.91,0.8,0
treprostinil,0,0,8.72,390.52,3.5832,4,3,10,86.99,5,0,0.12,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1,0.91,0
amisulpride,0,0,8.55,369.487,1.2851,6,2,7,101.73,1,9.47,0.03,0.09462,0.2622,22.02,0,0,-11.83258764,0,0,0,0,-41.85628561,0,0,0,0,0,3.042740981,0,0,0,0,0,0,0,0,0,0,2.918712589,0,0,0,0,0,0,-1.444791098,0,0,0,0,0,0,12,0.48,0.27,0
agomelatine,0,0,10.22,243.306,2.527,2,1,4,38.33,0,42.24,-0.03,0,0.1484,14.2,0,0,-3.138230543,0,0,0,0,-2.555753991,0,0,0,0,0,0,0,0,0,0,-3.976563136,0,0,0,0,0,0.098774856,0,0,0,0,0,0,-6.490698419,0,0,0,0,0,0,2,0.5,0.95,0
nitisinone,0,0,0,329.23,2.7346,5,0,3,94.35,0,0,-0.1,0,0.2981,24.42,0,39.81071706,-131.7900216,39.8107,59.6712,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.233227572,0,0,0,0,0,0,-18.59799257,0,0,0,0,0,0,54,0.9,0,0
etoricoxib,0,0,6.1,358.85,4.17592,4,0,3,59.92,0,12.43,0.32,0.1588,0.06952,22.4,0,0.707945784,-52.54959883,0.7079,40.5712,0.5,0,1.937852938,0,0,0,0,0,0,0,0,0,0,2.121620134,0,0,0,0,0,-1.052400261,0,0,0,0,0,0,-20.24740092,0,0,0,0,0,0,26,0.99,0.92,0
moclobemide,0,0,0,268.744,1.402,3,1,4,41.57,0,-1.36,0.01,0.3217,0.1695,13.94,0,0,-75.97169548,0,0,0,0,10.38585445,0,0,0,0,0,0,0,0,0,0,0.927365198,0,0,0,0,0,-1.360573233,0,0,0,0,0,0,-17.76346825,0,0,0,0,0,0,1.5,0.75,"0.5
",0
safinamide,0,0,0,302.349,2.3681,3,2,7,64.35,1,0,0.16,0.3615,0.04637,12.51,0,0,0,0,0,0,0,-44.11683162,0,0,0,0,0,0,0,0,0,0,-7.405527314,0,0,0,0,0,-5.142339843,0,0,0,0,0,0,-6.931474965,0,0,0,0,0,0,21.67,0.95,0.89,0
tasimelteon,0,0,9.8,245.322,2.2512,2,1,4,38.33,2,28.66,-0.2,0,0.1536,7.34,0,0,-20.26376557,0,0,0,0,-26.63688273,0,0,0,0,0,-74.42759341,0,0,0,0,-8.454367117,0,0,0,0,0,-3.831770284,0,0,0,0,0,0,-8.482150736,0,0,0,0,0,0,0.75,0,0.9,0
voxelotor,0,0,5.09,337.379,3.6231,6,1,6,77.24,0,4.85,-0.09,0,0.1638,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,0,0.99,0
istradefylline,0,0,0,384.436,2.1241,8,0,6,80.28,0,-0.25,0.09,0,0.1372,5.647,0,0.707945784,-73.33593341,0.7079,49.827,0.5,0,-2.996001756,0,0,0,0,0,1.789245937,0,0,0,0,-1.832820499,0,0,0,0,0,5.210021728,0,0,0,0,0,0,-18.97251207,0,0,0,0,0,0,67,0,0.98,0
amifampridine,0,0,0,109.132,0.246,3,2,0,64.93,0,5.4,-0.16,0,0.1603,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.97,0,0
revefenacin,0,0,9.75,597.76,4.836,6,2,10,108.21,0,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.15,0,0.71,0
tezacaftor,0,0,0,520.504,3.3953,7,4,8,113.18,1,-1.16,-0.07,0,0.1873,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.212447154,0,0,0,0,0,0,-8.555862058,0,0,0,0,0,0,57.2,0,0.99,0
lemborexant,0,0,8.52,410.424,3.74204,5,1,6,77,2,15.02,-0.18,0,0,24.6,0,0,0,0,0,0,0,-14.16892565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.77543886,0,0,0,0,0,0,-9.194696294,0,0,0,0,0,0,18,0,0.94,0
riluzole,0,0,0,234.202,2.7771,4,1,1,48.14,0,4.91,-0.15,0,0.1438,7.161,0,0,13.72442103,0,0,0,8.912509381,-51.37292463,0,0,0,0,0,-19.04576936,0,0,0,0,-130.1703106,0,0,0,0,0,-3.60044197,0,0,0,0,0,0,0.963558068,0,0,0,0,0,0,12,0.64,0.96,0
tamsulosin,0,0,0,408.52,2.3409,6,2,11,99.88,1,0,-0.07,0,0.1193,22.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0.99,0.96,0
relugolix,0,0,0,623.642,3.7505,11,2,9,132.61,0,0,-0.04,0,0,3.22,0,0,-5.77358573,0,0,0,0,-37.80712732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98535768,0,0,0,0,0,0,-3.768845717,0,0,0,0,0,0,25,0.12,0.69,0
paritaprevir,0,0,0,765.893,3.63692,10,3,7,189.65,5,0.28,-0.17,0,0.151,14.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.94618196,0,0,0,0,0,0,-18.50535767,0,0,0,0,0,0,8.71,0,0.98,0
venetoclax,0,0,11,868.457,8.6599,11,3,13,172.03,0,0,-0.29,0,0.1129,21.72,0,0,-15.92084643,0,0,0,0,6.775515142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36723935,0,0,0,0,0,2.238721139,-111.5573818,0,0,0,0,0,0,23,0,0.01,0
osilodrostat,0,0,8.6,227.242,2.42948,3,0,1,41.61,1,0,-0.11,0,0,-5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.4,0
uridine triacetate,0,0,0,370.314,-1.1395,10,1,5,142.99,4,-22.84,-0.02,0,0.05866,6.896,0,0,-151.4011888,0,0,0,0,-6.166535387,0,0,0,0,0,-23.31442524,0,0,0,0,-0.194355029,0,0,0,0,0,2.009423624,0,0,0,0,0,0,-40.73074348,0,0,0,0,0,0,2.25,0,0,0
epinastine,0,0,0,249.317,2.4668,3,1,0,41.62,1,-3.27,-0.08,0,-0.03911,-4.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4,0.64,0
varenicline,0,0,0,211.268,1.8039,3,1,0,37.81,2,0,-0.17,0,0,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.87,0.2,0
ranolazine,0,0,0,427.545,2.30804,6,2,9,74.27,1,0,0,1.095,0.1142,0,0,39.81071706,-8.402266838,39.8107,43.5234,0.5,0,2.646338673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24390448,0,0,0,0,0,0,-28.54426624,0,0,0,0,0,0,1.8,0.425,0.62,0
domperidone,0,0,0,425.92,3.3532,5,2,5,78.82,0,4.8,-0.11,0.39,0.1608,7.05,0,11.22018454,-39.77118128,11.2202,59.4962,0.5,0,-6.119265208,0,0,0,0,39.81071706,-14.0227329,39.8107,48.0964,0.5,39.81071706,-9.588627326,39.8107,31.8879,0.5,1,0,16.13006403,0,0,0,0,0,0,-32.77258697,0,0,0,0,0,0,7.5,0.15,0.92,0
pilocarpine nitrate,0,0,6.97,271.273,0.8141,6,1,3,107.49,2,0,0,0,0.1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0
trimethobenzamide hydrochloride,0,0,0,424.925,3.0046,6,1,10,69.26,0,0,0,0,0.1981,0,0,0,-3.977884476,0,0,0,0,3.390053047,0,0,0,0,0,0,0,0,0,0,2.168830665,0,0,0,0,0,11.68802218,0,0,0,0,0,0,-31.32842639,0,0,0,0,0,0,8,0.8,0,0
benzoic acid,0,0,0,122.123,1.3848,1,1,1,37.3,0,33.07,-0.19,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urea,0,0,0,60.056,-0.9762,1,2,0,69.11,0,19.36,-0.03,0,0.04168,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miconazole nitrate,0,0,0,479.147,6.1071,5,1,6,90.42,1,0,-0.27,-0.1193,0.003347,14.26,0,31.6227766,-16.23344465,0,0,0,0,-28.58427325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.535249746,0,0,0,0,0,12.58925412,-75.55954881,0,0,0,0,0,0,19.75,0.25,0,0
tiopronin,0,0,0,163.198,-0.4945,3,3,3,66.4,1,0,0.15,0,0.1099,24.6,0,0,-71.84311816,0,0,0,0,-20.40846769,0,0,0,0,0,0.985622581,0,0,0,0,0,0,0,0,0,0,1.195151158,0,0,0,0,0,0,-14.09262405,0,0,0,0,0,0,55,0.63,0.99,0
mianserin hydrochloride,0,0,8.12,300.833,3.5057,2,0,0,6.48,1,0,0,0,0.2217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0.22,0.9,0
betahistine hydrochloride,0,0,0,209.12,1.6871,2,1,3,24.92,0,0,0,0,0.1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0.5,0
bifonazole,0,0,0,310.4,5.1878,2,0,4,17.82,1,70.75,-0.11,-0.0446,0,-1.13,0,31.6227766,-23.28488786,31.6228,80.4844,0.5,39.81071706,-10.76359729,39.8107,38.2072,0.5,1,39.81071706,-31.39313483,39.8107,107.675,0.5,0,-10.01068622,0,0,0,0,0,8.893974694,0,0,0,10,36.432,12.58925412,-76.81131184,0,0,0,0,14.125375,24.488,1.5,0,0,0
enoxacin,0,0,0,320.324,0.6633,6,2,3,87.46,0,-14.27,-0.12,1.182,0,7.669,0,0,-42.60789196,0,0,0,0,-11.77321733,0,0,0,0,0,-97.27821453,0,0,0,0,2.67367584,0,0,0,0,0,-0.35800246,0,0,0,0,0,0,-32.15012181,0,0,0,0,0,0,5.1,0.87,0,0
rilpivirine,0,0,0,366.428,4.9891,6,2,5,97.42,0,82.1,1.73,0,0.1167,-36.34,0,22.38721139,-49.40789163,22.3872,115.464,1,28.18382931,-35.58664217,35.4813,42.7423,0.5,1,39.81071706,-70.035117,39.8107,106.141,0.5,15.84893192,-44.46915358,15.8489,42.0715,0.5,1,0,-1.512509932,0,0,0,0,0,8.912509381,-80.52372913,0,0,0,0,0,0,44.5,0,0.99,0
cabergoline,0,0,9.2,451.615,3.1939,4,2,8,71.68,3,0,0.2,0,0,15.57,0,19.95262315,-98.1251517,19.9526,97.926,0.5,0,2.204313515,0,0,0,0,35.48133892,-0.34513027,35.4813,47.3171,0.5,0,0.152899509,0,0,0,0,12.58925412,68.72586133,0,0,0,0,0,0,-33.75430762,0,0,0,0,0,0,66,0.65,0.41,0
acrivastine,0,0,0,348.446,4.01532,3,1,6,53.43,0,28.58,0.05,0,0.1912,11.52,0,39.81071706,-18.66364175,39.8107,30.2251,0.5,0,3.466940646,0,0,0,0,0,0,0,0,0,0,3.21311899,0,0,0,0,0,-0.686657643,0,0,0,0,0,0,-32.0431464,0,0,0,0,0,0,1.9,0.18,0.5,0
elvitegravir,0,0,0,447.89,4.281,5,2,7,88.76,1,7.47,0.46,0,0.1404,10.31,0,0.001122019,-356.1835003,0,0,0,0,3.679002689,0,0,0,0,12.58925412,-222.6469686,12.5893,80.6309,1,0,0,0,0,0,0,0,-1.420278371,0,0,0,0,0,10,-80.60074756,0,0,0,0,0,0,8.7,0,0.98,0
dasabuvir,0,0,0,493.585,4.0236,6,2,5,110.26,0,-10.02,0.55,0.184,0.3029,17.1,0,5.011872336,-79.47204571,5.0119,32.765,0.5,0,-3.990996553,0,0,0,0,39.81071706,-109.4435869,39.8107,63.7795,0.5,0,0.595987514,0,0,0,0,12.58925412,39.48904639,0,0,0,12.589254,48.664,3.981071706,-41.59730306,0,0,0,0,14.125375,42.532,5.7,0.7,0.99,0
silodosin,0,0,10.44,495.542,3.0711,6,3,13,97.05,1,-9.07,-0.03,0.8702,0.3783,18,0,39.81071706,-10.39907817,39.8107,47.6829,0.5,0,-3.945999149,0,0,0,0,0,-2.210205697,0,0,0,0,-37.71000725,0,0,0,0,0,-2.973387895,0,0,0,0,0,0,-19.97735486,0,0,0,0,0,0,3.6,0.32,0.97,0
lumacaftor,0,0,6.46,452.413,4.74702,5,2,5,97.75,0,37.26,0.02,0,0.04797,2.625,0,3.16227766,-55.89001864,3.1623,43.2008,0.5,0,0.1680592,0,0,0,0,0,-51.75491424,0,0,0,0,0,0,0,0,0,0,6.258826113,0,0,0,0,0,0,-16.9324573,0,0,0,0,0,0,26,0,0.99,0
stiripentol,0,0,0,234.295,2.8355,3,1,2,38.69,1,2.28,0.04,0.1907,0,23.97,0,39.81071706,-16.71890475,39.8107,57.344,0.5,0,-13.23716458,0,0,0,0,0,2.4004399,0,0,0,0,1.623265504,0,0,0,0,0,-1.94764978,0,0,0,0,0,0,-30.55666365,0,0,0,0,0,0,8.75,0,0.99,0
pretomanid,0,0,0,359.26,2.6677,7,0,5,88.65,1,-0.06,0.08,0,0,-11.24,0,0,-5.306319602,0,0,0,0,-7.176977968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.708231357,0,0,0,0,0,0,-20.22684312,0,0,0,0,0,0,18,0,0.86,0
rufinamide,0,0,0,238.197,0.7035,4,1,3,73.8,0,-10.47,-0.04,0.3352,0.1638,-8.338,0,0,-95.86933835,0,0,0,0,0.252166013,0,0,0,0,0,-18.7064035,0,0,0,0,-5.001427267,0,0,0,0,0,0.082196392,0,0,0,0,0,0,-14.46471419,0,0,0,0,0,0,8,0.85,0.28,0
(+)-camphor,0,0,0,152.237,2.4017,1,0,0,17.07,2,4.08,-0.14,0,0,28.93,0,0,-14.17479775,0,0,0,0,4.789257107,0,0,0,0,0,-11.39899869,0,0,0,0,-18.47225354,0,0,0,0,0,-3.329756105,0,0,0,0,0,0,-11.52310881,0,0,0,0,0,0,0,0,0,0
parecoxib,0,0,8.3,370.43,3.53192,5,1,5,89.27,0,5.85,-0.11,0,0.03281,24.92,0,0,-16.32548116,0,0,0,0,1.429513781,0,0,0,0,0,-0.602538606,0,0,0,0,2.12911487,0,0,0,0,0,-0.735643891,0,0,0,0,0,0,-16.28390815,0,0,0,0,0,0,0.33,0,0.98,0
saxagliptin,0,0,9.22,315.417,1.15798,4,2,2,90.35,8,-4.62,0,0,0,2.652,0,0,-12.63407141,0,0,0,0,-2.820517765,0,0,0,0,0,8.056316388,0,0,0,0,-0.718675517,0,0,0,0,0,8.086467056,0,0,0,0,0,0,5.661891902,0,0,0,0,0,0,7.5,0.67,0.1,0
bosutinib,0,0,10.54,530.456,5.19038,8,1,9,82.88,0,18.71,-0.33,-0.3065,0.09732,-1.12,0,3.16227766,-96.63655942,0,0,0,14.12537545,-83.00742285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.977021767,0,0,0,0,0,7.943282347,-117.5169597,0,0,0,0,0,0,22.5,0,0.94,0
selexipag,0,0,0,496.633,3.898,7,1,12,101.49,0,-2.21,-0.08,0,0.0592,10.87,0,39.81071706,-45.63190366,39.8107,60.2787,0.5,0,-1.869665555,0,0,0,0,0,-7.759739299,0,0,0,0,0,0,0,0,0,0,7.526524546,0,0,0,0,0,0,-18.41448732,0,0,0,0,0,0,5.25,0,0.99,0
cinacalcet,0,0,7.7,357.419,6.142,1,1,6,12.03,1,0,-0.38,0,-0.07555,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,0.2,0.95,0
guaiacol,0,0,0,124.139,1.4008,2,1,1,29.46,0,0,0,0.2494,0,0,0,0,-15.06583958,0,0,0,0,-59.48547569,0,0,0,0,0,3.329916268,0,0,0,0,0,0,0,0,0,0,6.257298955,0,0,0,0,0,0,-13.15651465,0,0,0,0,0,0,0,0,0,0
ethylenediamine tetracetate tetra-ethanolamine,0,0,0,536.58,-6.3216,14,12,15,340.68,0,-2.85,-0.05,0,0,2.523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
alendronate sodium,0,0,0,326.131,-6.7433,4,6,5,255.81,0,0,-0.19,0,0,4.25,0,0,-6.120428415,0,0,0,0,0.843931252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.186374568,0,0,0,0,0,0,-1.654900642,0,0,0,0,0,0,3.1,0.01,0,0
rizatriptan benzoate,0,0,6.9,391.475,3.2966,5,2,6,87.04,0,-3.9,0.07,0.7991,0,-3.916,0,25.11886432,-12.96989582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298560362,0,0,0,0,0,-0.084913704,0,0,0,0,0,0,-22.60824124,0,0,0,0,0,0,2.2,0.45,0.14,0
metaxalone,0,0,0,221.256,1.79064,3,1,3,47.56,1,-6.36,0.12,0,0.2292,4.879,0,0,-10.21904745,0,0,0,0,-28.56619021,0,0,0,0,0,0.51930652,0,0,0,0,-24.91748909,0,0,0,0,0,-2.741001034,0,0,0,0,0,0,-7.591595644,0,0,0,0,0,0,9.2,0,0,0
donepezil hydrochloride,0,0,0,415.961,4.7829,4,0,6,38.77,1,0,-0.2,0,0.173,18.24,0,39.81071706,-22.0683885,39.8107,75.6921,0.5,0,4.254292812,0,0,0,0,39.81071706,-11.48366028,39.8107,38.3877,0.5,0,-0.971795709,0,0,0,0,0,-1.909780602,0,0,0,0,0,0,-0.743334591,0,0,0,0,0,0,70,0.99,0.96,0
fampridine,0,0,0,94.117,0.6638,2,1,0,38.91,0,-6.59,-0.05,0.1168,0.1111,27.93,0,0,-151.4324653,0,0,0,0,11.12891416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.149196958,0,0,0,0,0,0,-22.44053921,0,0,0,0,0,0,3.6,0.96,0.02,0
cysteamine hydrochloride,0,0,0,113.613,0.2967,2,2,1,26.02,0,0,0,0,0.253,0,0,0,-66.28691718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.089936575,0,0,0,0,0,6.788145336,0,0,0,0,0,0,1.701907315,0,0,0,0,0,0,3.7,0,0.52,0
zolmitriptan,0,0,8.9,287.363,1.9229,3,2,5,57.36,1,7.85,0.24,0.4913,0.1454,25.69,0,39.81071706,-62.03818209,39.8107,40.8308,0.5,0,1.535060667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049050801,0,0,0,0,0,0,-1.18744114,0,0,0,0,0,0,3.6,0.45,0.25,0
fusidic acid,0,0,0,516.719,5.6661,5,3,5,104.06,10,6.87,0.04,0,0,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.91,0.98,0
mebeverine hydrochloride,0,0,0,466.018,5.0243,6,0,13,57.23,1,0,0,0,0.1457,0,0,11.22018454,-48.60249735,11.2202,68.1397,1,0,16.57627023,0,0,0,0,39.81071706,-21.36239117,39.8107,73.2706,0.5,0,-5.529893135,0,0,0,0,0,4.90429728,0,0,0,0,0,0,-27.33328901,0,0,0,0,0,0,0,0,0,0
sumatriptan,0,0,0,295.408,1.3212,3,2,6,65.2,0,-0.78,-0.04,0,0.2609,15.35,0,0,0,0,0,0,0,3.335673098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.50400309,0,0,0,0,0,0,-22.99016512,0,0,0,0,0,0,1.7,0.14,0.17,0
fexofenadine hydrochloride,0,0,8,538.128,5.9323,4,3,10,81,1,0,0,0,0.1118,0,0,6.309573445,-10.71723336,6.3096,32.3993,0.5,0,8.438076289,0,0,0,0,0,0,0,0,0,0,9.02137978,0,0,0,0,0,6.428590678,0,0,0,0,0,0,-3.817467539,0,0,0,0,0,0,13,0.7,0.65,0
lofexidine  hydrochloride,0,0,8.36,295.597,3.1842,3,1,3,33.62,1,0,-0.11,0.03818,0.1853,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.9,0.55,0
alfuzosin hydrochloride,0,0,8.55,425.917,1.7725,8,2,8,111.83,1,0,0,0,0.1086,0,0,39.81071706,-19.93802843,39.8107,68.3852,0.5,15.84893192,-53.08760273,0,0,0,0,39.81071706,-32.49831445,39.8107,111.466,0.5,0,-63.21129643,0,0,0,0,0,5.573321162,0,0,0,0,0,0,-10.16535314,0,0,0,0,0,0,4.8,0.55,0.86,0
